"83.004,94 €",1986-07-25T15:30:18,Europe/Ljubljana,Sudan,wir.txt,2e:86:b4:65:7b:82,Rohleder OHG mbH,desktop-86.bien.org,-72.340267,23:13:50,Witzenhausen,17201
"37,71 €",1987-02-02T11:01:13,Australia/Perth,Palästinensische Gebiete,oft.html,ac:7d:48:70:2b:11,Conradi OHG mbH,desktop-23.schleich.org,14.316194,01:10:19,Sulzbach-Rosenberg,63460267
"2,70 €",2008-08-09T03:28:11,Europe/Istanbul,Sonderverwaltungszone Hongkong,und.flac,40:bb:16:6a:b0:11,Löffler e.V.,db-48.seifert.com,-69.927445,17:24:35,Tuttlingen,19
"2,69 €",1999-03-22T11:43:46,Asia/Bahrain,Kanada,alle.wav,1f:50:05:11:09:ff,Pohl KG,laptop-00.misicher.com,174.136732,00:44:07,Freudenstadt,159051
"76,26 €",1999-01-06T19:59:07,Europe/Sarajevo,Eritrea,was.mov,d7:33:6c:b0:ee:29,Jäkel,db-05.froehlich.de,-26.211772,11:15:03,Ludwigslust,28148
"87.413,49 €",1983-07-18T17:26:51,Asia/Seoul,Nördliche Marianen,nächste.mov,8a:80:d6:7b:bf:04,Ruppert Hövel GbR,email-81.keudel.de,81.867325,15:26:01,Badoberan,224
"55.017,75 €",1983-10-25T22:59:08,Europe/Amsterdam,Burkina Faso,Flasche.bmp,c9:cd:2b:f1:b7:8b,Lange,laptop-04.langern.de,-124.113689,02:26:36,Konstanz,57
"819,90 €",1982-04-20T18:09:18,Asia/Riyadh,Laos,Sonne.flac,38:d5:5e:6e:5b:21,Höfig,web-96.nette.com,33.590404,17:21:31,Paderborn,5849
"74,09 €",2001-08-12T13:58:52,Europe/Luxembourg,Kokosinseln,lernen.avi,a4:b6:24:f9:17:e2,Schlosser,web-79.hamann.org,173.866845,13:31:47,Flöha,30364004
"93.764,78 €",1987-05-07T20:17:20,Europe/Belgrade,Bouvetinsel,trinken.odt,e1:b8:92:b4:2e:00,Schinke KG,srv-24.oestrovsky.com,173.757659,11:03:52,Miltenberg,86
"9.307,87 €",1995-04-03T03:24:38,Asia/Kuching,Jordanien,ins.flac,3e:dd:ae:49:f1:e0,Hänel GmbH,email-26.junitz.com,-177.216787,20:49:01,Kronach,77457071
"19.475,65 €",1983-02-08T06:14:14,Europe/Athens,Oman,immer.mp3,05:1b:3e:05:ac:5a,Schmiedt GmbH & Co. KG,email-28.kostolzin.net,-143.182073,04:54:53,Hainichen,455979
"39.910,82 €",2004-04-29T20:33:34,Europe/Zagreb,Mexiko,sieben.key,71:35:64:0e:bf:dc,Säuberlich Eberth GmbH & Co. OHG,db-14.hendriks.net,-49.282259,07:19:14,Rottweil,946442249
"9,94 €",2013-09-15T23:12:47,Africa/Harare,Cookinseln,liegen.mp4,87:a5:41:47:56:59,Radisch GbR,laptop-04.wernecke.com,18.368258,18:07:04,Wolgast,45
"56,01 €",2009-02-07T02:03:20,Africa/Dakar,Mauritius,hinter.css,a1:54:cb:6f:26:79,Barkholz Lehmann GmbH,web-21.heser.de,-135.421783,14:01:23,Mittweida,5
"899,55 €",1993-10-09T18:57:57,Asia/Kabul,Alandinseln,gefährlich.mp3,19:19:e0:f0:40:1e,Pohl GmbH & Co. KG,srv-34.reichmann.net,-40.354120,01:41:46,Burglengenfeld,745
"35.098,86 €",2023-06-22T00:17:36,Europe/Copenhagen,Kenia,drehen.gif,fb:18:83:ad:4c:76,Haering Stiftung & Co. KG,lt-64.bruder.com,179.869811,23:03:19,Schwandorf,891814245
"0,36 €",1979-06-14T01:50:33,America/Mazatlan,Kambodscha,Pferd.mp3,9c:93:b6:5e:e5:cc,Hartmann OHG mbH,web-36.juncken.de,-88.363336,00:16:17,Sangerhausen,64746
"939,23 €",1972-04-11T10:49:21,America/Caracas,Sri Lanka,mit.html,8a:1d:7e:6c:be:ff,Jüttner GbR,desktop-43.ditschlerin.net,-53.975017,03:33:29,Schwabmünchen,749232924
"2.546,58 €",2003-05-22T05:15:11,America/Panama,Kolumbien,spielen.tiff,4a:e2:2e:ce:5f:83,Fritsch AG,srv-26.otto.net,145.723740,16:55:30,Weimar,887960050
"3.623,36 €",2022-03-17T21:45:13,Africa/Abidjan,Belize,zehn.jpg,13:7d:9f:a1:93:4f,Hendriks,laptop-82.jaekel.org,-177.807409,22:36:45,Zossen,936610
"6,44 €",1980-07-30T06:28:58,Europe/Lisbon,Tuvalu,Bein.csv,5d:7d:95:2a:4f:7a,Rädel Knappe GbR,db-31.hermighausen.com,-38.374534,05:22:33,Geithain,3
"70,41 €",2021-02-20T14:12:26,Africa/Conakry,Isle of Man,unser.json,1d:04:2d:8b:e4:5d,Trupp KG,srv-18.martin.de,-134.556313,08:44:40,Bad Freienwalde,98642892
"1,46 €",1992-07-26T06:28:49,Asia/Beirut,Nördliche Marianen,Zug.html,9f:8b:cf:fa:00:7d,Zahn,srv-20.fechner.net,162.219293,05:03:13,Eisleben,7
"95,09 €",1995-08-13T12:58:19,Asia/Manila,St. Kitts und Nevis,hören.ods,95:73:62:81:1f:47,Lehmann,lt-00.stadelmann.org,-20.170946,18:00:19,Staffelstein,168554265
"17.255,49 €",2009-12-23T17:23:52,Pacific/Kosrae,Italien,werden.mov,69:cb:20:48:fd:4b,Schottin,web-56.dobes.com,171.908216,23:48:49,Stade,8
"474,39 €",1994-05-05T09:48:06,Asia/Jakarta,Malawi,Tag.jpeg,3b:6a:73:1a:4b:99,Hartmann e.V.,lt-05.trommler.com,-86.487616,19:21:40,Großenhain,23223932
"41.193,00 €",2001-11-30T07:29:29,Pacific/Funafuti,Somalia,tot.js,71:3a:3c:23:59:48,Holzapfel Stiftung & Co. KGaA,srv-19.bien.org,75.282545,12:31:14,Pinneberg,6
"0,67 €",1971-09-08T00:00:56,Asia/Beirut,Island,fest.csv,d9:7a:e5:b1:57:51,Weller Meister GmbH,web-15.ziegert.de,-159.829638,19:50:31,Sulzbach-Rosenberg,281706
"2,98 €",1986-05-29T14:44:00,Asia/Pyongyang,Fidschi,nämlich.webm,e1:b8:fb:21:f9:52,Meister KG,email-24.hesse.de,29.224773,12:40:56,Wernigerode,482086909
"9.571,84 €",1984-11-19T23:59:13,Africa/Addis_Ababa,Republik Moldau,schaffen.txt,0a:b4:b1:b7:73:8e,Karz Neureuther KG,desktop-01.schwital.de,34.391255,21:07:08,Pegnitz,742127
"98.716,48 €",1998-08-15T19:18:01,Europe/Zagreb,Nördliche Marianen,Flasche.odt,4c:79:97:c4:5a:64,Killer Adolph GbR,laptop-47.schinke.com,17.660488,12:11:27,Beilngries,15413632
"5.796,23 €",2005-03-20T22:42:19,Africa/Bamako,Nepal,rufen.flac,29:c0:76:76:da:b8,Wende,web-87.budig.com,-168.605384,13:24:28,Lüneburg,73
"553,11 €",1991-10-29T21:31:17,Asia/Taipei,Kirgisistan,Wagen.wav,2a:fe:bb:61:60:e3,Buchholz Bien e.G.,laptop-81.luebs.de,-121.652325,22:39:47,Hohenmölsen,0
