latitude,city,timezone,date,mac_address,language_code,bank_country,file_name,company,pricetag
81.8302335,Nürtingen,Europe/Riga,1974-02-16,de:a9:0d:66:bd:59,cmn,DE,gern.jpeg,Geisel,"874,71 €"
67.1357385,Kassel,Asia/Gaza,1995-02-22,13:21:af:49:5d:4b,he,DE,Baum.flac,Roskoth Benthin KG,"816,28 €"
-23.958057,Grafenau,America/Guatemala,2008-02-23,75:12:74:e5:68:24,pl,DE,treffen.bmp,Benthin Stiftung & Co. KGaA,"15.625,08 €"
-75.119279,Bayreuth,Africa/Bujumbura,1983-06-19,01:eb:7c:8a:ca:e7,os,DE,Wetter.flac,Kostolzin Fiebig AG & Co. OHG,"63.374,61 €"
-25.447044,Ahaus,Europe/Tallinn,1978-11-15,35:c5:28:1f:01:77,li,DE,Wetter.gif,Hänel GmbH & Co. OHG,"94,31 €"
53.144363,Viechtach,Europe/Madrid,1987-06-02,48:1b:e2:10:5b:c3,or,DE,oft.bmp,Freudenberger KG,"58,14 €"
-31.364378,Warendorf,Europe/Chisinau,1990-12-07,5a:49:ce:44:45:3a,lt,DE,fressen.wav,Wulf Lorch GbR,"247,16 €"
-1.932546,Wetzlar,Africa/Ouagadougou,2005-10-30,bf:3c:c2:d2:b0:32,gv,DE,sieben.jpg,Jacobi Jäckel Kensy AG,"51,10 €"
56.846487,Eutin,Africa/Kampala,1993-03-03,2d:48:11:cb:f6:45,ak,DE,mal.js,Mitschke Löffler GmbH,"38,31 €"
-82.759680,Säckingen,Asia/Pyongyang,1984-01-23,3f:c8:34:4c:c4:96,unm,DE,bekommen.jpeg,Haering Otto AG,"4.538,25 €"
33.5358905,Badibling,America/Guyana,1986-07-08,bd:31:24:c6:34:b4,bs,DE,tun.tiff,Hertrampf,"51,18 €"
20.7616775,Duderstadt,America/Montevideo,1975-01-08,6b:0f:65:eb:2f:6a,ms,DE,Ferien.doc,Loos,"8.589,95 €"
-33.6276025,Havelberg,Asia/Dili,1998-12-23,02:6e:05:ab:21:2b,ps,DE,neu.mp3,Mans GmbH & Co. KG,"4.494,94 €"
-3.7523035,Schlüchtern,Europe/Helsinki,2012-07-05,e0:23:3c:0e:43:9f,nn,DE,ihn.pptx,Gehringer GmbH & Co. KGaA,"8,67 €"
-29.9097815,Pritzwalk,Atlantic/Reykjavik,1975-08-02,00:12:1e:c9:d8:2e,byn,DE,klettern.css,Gutknecht e.V.,"204,76 €"
22.995092,Badalzungen,Europe/Tallinn,1996-05-26,5a:38:cf:3a:ee:1c,ckb,DE,wenig.avi,Otto,"92.479,50 €"
-26.621174,Feuchtwangen,Africa/Niamey,2005-04-07,ac:a4:5d:b8:c9:2e,yi,DE,Geschichte.pdf,Kitzmann,"6.346,99 €"
19.9111045,Stadtsteinach,Europe/Oslo,2020-08-24,b7:f0:e4:ee:2e:97,km,DE,oder.css,Sorgatz Stiftung & Co. KG,"34.274,59 €"
-44.3107565,Rochlitz,Atlantic/Madeira,2015-04-24,d4:c3:db:1b:05:57,mi,DE,Mutter.wav,Eigenwillig GmbH & Co. KG,"23.335,01 €"
15.403129,Fallingbostel,Africa/Porto-Novo,2021-07-22,e3:86:26:d2:33:10,pap,DE,leicht.xlsx,Schmiedt AG & Co. KG,"5,62 €"
60.8076355,Stade,Asia/Tehran,1980-05-20,be:45:55:18:d8:76,uz,DE,mich.html,Jungfer,"6.491,24 €"
70.6384355,Eggenfelden,Asia/Kuwait,1988-08-17,f7:eb:e9:3e:3c:9f,aa,DE,helfen.wav,Mangold Ruppersberger AG & Co. KGaA,"6,38 €"
63.8314635,Pasewalk,Pacific/Tongatapu,1996-09-09,8e:13:e6:a1:a4:39,iu,DE,darauf.pdf,Dietz,"6,12 €"
