time,file_name,iso8601,country,company,city,language_name,date_time,hostname,mac_address,bank_country,pricetag,latitude,date,random_number,language_code
17:54:51,laufen.txt,1996-05-16T05:26:42,Mauretanien,Hein Müller KG,Meppen,Quechua,2000-03-05 09:11:29,db-30.barkholz.de,fc:3b:c2:cd:a1:f6,DE,"18,99 €",24.5161345,2000-04-08,894624226,tk
00:17:46,her.jpeg,1970-12-28T09:42:39,Montenegro,Schinke GmbH & Co. KGaA,Oschatz,Malay,1983-09-26 10:49:34,db-46.wulff.de,16:3e:bd:29:6a:33,DE,"12.253,64 €",-25.211897,1991-11-28,316142,lzh
20:41:52,drehen.numbers,2006-08-19T00:14:01,Japan,Gnatz GmbH & Co. KGaA,Badibling,Inupiaq,1998-08-11 15:33:56,laptop-93.schmidt.com,57:ed:c2:9f:35:e6,DE,"1.407,47 €",-31.0681715,1989-04-16,4442,sw
20:38:35,Schule.gif,1987-04-19T22:20:57,Vietnam,Herrmann AG,Forst,Polish,1997-04-06 04:08:22,email-75.weihmann.net,80:2b:2a:4d:b2:bc,DE,"2,68 €",-73.736302,2008-05-04,585,ml
11:27:24,liegen.avi,1986-08-20T06:17:55,Rumänien,Hesse,Mallersdorf,Igbo,2023-05-05 12:42:12,desktop-86.briemer.de,86:4d:f2:d2:c5:56,DE,"6.235,41 €",-19.839740,2001-09-19,942,kl
19:25:31,Name.wav,2009-03-18T07:17:47,Nepal,Reichmann GmbH & Co. KG,Plauen,Tsonga,2006-10-25 11:58:39,desktop-29.hettner.com,9c:99:c3:31:6b:57,DE,"375,73 €",-66.364565,2020-10-13,57,sat
06:08:51,fröhlich.js,1971-12-20T03:58:22,Komoren,Liebelt,Ahaus,Thai,2023-02-25 21:51:42,laptop-31.hermighausen.com,5c:e0:22:d3:48:26,DE,"3.265,37 €",11.319964,1971-05-08,944,ur
01:54:47,freuen.mp3,2008-04-08T22:48:23,Thailand,Rogner Hauffer AG & Co. KGaA,Osterode am Harz,Marshallese,1981-12-27 08:07:27,lt-15.heydrich.de,74:6a:63:0f:2e:96,DE,"90.111,64 €",53.2305025,1991-02-05,0,bo
12:23:53,Fisch.jpeg,2012-02-09T18:07:57,Antigua und Barbuda,Siering AG,Neubrandenburg,Limburgan,2004-11-23 09:21:50,laptop-72.raedel.net,4c:9a:7b:dd:c4:ba,DE,"2,97 €",-48.244228,1996-05-04,39,mag
04:20:15,Wetter.mp3,1986-08-11T10:39:58,Tokelau,Koch GmbH & Co. KG,Lörrach,Zulu,1984-02-21 16:39:35,email-88.steinberg.de,b2:ab:3a:79:29:f5,DE,"52,36 €",6.9038675,1994-07-12,320557,tn
11:20:48,Gesicht.txt,1984-03-15T17:39:44,Monaco,Hendriks,Stadtsteinach,Pali,2011-09-13 00:11:59,desktop-58.junken.de,c5:e0:21:9d:4e:1c,DE,"8,91 €",-51.497157,2014-04-25,78,mr
19:44:10,Geburtstag.wav,1986-10-01T05:27:00,Pakistan,Ritter,Plauen,Lao,2005-01-04 18:48:43,srv-79.johann.net,05:e6:bf:44:f7:6d,DE,"280,53 €",75.5951115,2004-12-10,1,fur
22:41:36,hören.pptx,2011-08-15T04:13:36,Slowenien,Mies GmbH,Ahaus,Ukrainian,2009-05-07 08:33:32,db-52.krebs.com,07:db:aa:9a:70:15,DE,"76.023,68 €",-7.0979275,2002-06-05,3,ps
11:00:17,rufen.json,2004-02-07T19:49:27,St. Vincent und die Grenadinen,Kohl Löffler GmbH,Dresden,Tibetan,1999-04-03 17:46:23,db-89.anders.de,d0:cb:0d:ff:df:34,DE,"331,65 €",-0.9307055,1975-07-19,5127,sr
